Building Name,Path,Certification date,City,State,Country,Rating system,Version,Certification level (name),Certification level (numeric)
TD Bank - Gaithersburg MD - Shady Grove,http://www.usgbc.org/projects/td-bank-gaithersburg-md-shady-grove,02/29/2012 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],New Construction,v2009,Gold,2
TD Bank - Colesville Rd Silver Spring MD,http://www.usgbc.org/projects/td-bank-colesville-rd-silver-spring-md,08/06/2012 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Commercial Interiors,v2009,Silver,3
Consumer Product Safety Commission,http://www.usgbc.org/projects/consumer-product-safety-commission,10/19/2011 12:00:00 AM,Rockville,Maryland [MD],United States [us],Commercial Interiors,v2009,Silver,3
Blairs Residential Campus,http://www.usgbc.org/projects/blairs-residential-campus-0,07/25/2012 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Existing Buildings,v2009,Gold,2
The Tower Building,http://www.usgbc.org/projects/tower-building,06/02/2009 12:00:00 AM,Rockville,Maryland [MD],United States [us],Existing Buildings,v2.0,Silver,3
Gaithersburg Youth Center,http://www.usgbc.org/projects/gaithersburg-youth-center,11/03/2006 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],New Construction,v2.1,Certified,4
Enviva LP,http://www.usgbc.org/projects/enviva-lp,05/23/2011 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Commercial Interiors,v2009,Silver,3
Seven Locks Elementary School,http://www.usgbc.org/projects/seven-locks-elementary-school,12/26/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
Howard Hughes Medical Institute - Headqu,http://www.usgbc.org/projects/howard-hughes-medical-institute-headqu,10/24/2011 12:00:00 AM,Chevy Chase,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Courtyard,http://www.usgbc.org/projects/courtyard,11/16/2009 12:00:00 AM,Chevy Chase,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Eastern Village Cohousing Condominium,http://www.usgbc.org/projects/eastern-village-cohousing-condominium,09/26/2005 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2.1,Silver,3
"The Tower Companies, Headquarters",http://www.usgbc.org/projects/tower-companies-headquarters,06/02/2009 12:00:00 AM,Rockville,Maryland [MD],United States [us],Commercial Interiors,v2.0,Platinum,1
Reznick Group HQ,http://www.usgbc.org/projects/reznick-group-hq,02/28/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],Commercial Interiors,v2009,Silver,3
Great Seneca Elementary School,http://www.usgbc.org/projects/great-seneca-elementary-school,04/18/2007 12:00:00 AM,Germantown,Maryland [MD],United States [us],New Construction,v2.1,Gold,2
BAE Systems TSS - Redland,http://www.usgbc.org/projects/bae-systems-tss-redland,01/04/2011 12:00:00 AM,Rockville,Maryland [MD],United States [us],Commercial Interiors,v2.0,Silver,3
Blair Towns,http://www.usgbc.org/projects/blair-towns-1,07/06/2011 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],Existing Buildings,v2009,Platinum,1
PNC Bank Branch- Germantown,http://www.usgbc.org/projects/pnc-bank-branch-germantown,06/11/2009 12:00:00 AM,Germantown,Maryland [MD],United States [us],New Construction,v2.2,Silver,3
Herb Gordon Mercedes-Benz,http://www.usgbc.org/projects/herb-gordon-mercedes-benz,12/21/2011 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2009,Certified,4
"One Main Financial, Rockville MD",http://www.usgbc.org/projects/one-main-financial-rockville-md,04/13/2009 12:00:00 AM,Rockville,Maryland [MD],United States [us],Retail - Commercial Interiors,v1.0 pilot,Certified,4
Redland Center III,http://www.usgbc.org/projects/redland-center-iii,01/18/2010 12:00:00 AM,Rockville,Maryland [MD],United States [us],Core and Shell,v2.0,Gold,2
Redland Center II,http://www.usgbc.org/projects/redland-center-ii,01/18/2010 12:00:00 AM,Rockville,Maryland [MD],United States [us],Core and Shell,v2.0,Gold,2
Washingtonian Center South,http://www.usgbc.org/projects/washingtonian-center-south,09/07/2010 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],Core and Shell,v2.0,Gold,2
Shady Grove Educational Center III,http://www.usgbc.org/projects/shady-grove-educational-center-iii,10/23/2007 12:00:00 AM,Rockville,Maryland [MD],United States [us],New Construction,v2.0,Gold,2
2000 Tower Oaks Boulevard,http://www.usgbc.org/projects/2000-tower-oaks-boulevard,04/24/2009 12:00:00 AM,Rockville,Maryland [MD],United States [us],Core and Shell,v2.0,Platinum,1
P 701/796-WTU-Bldg 17,http://www.usgbc.org/projects/p-701796-wtu-bldg-17,07/09/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Silver,3
Farmland Elementary - Addition,http://www.usgbc.org/projects/farmland-elementary-addition,07/02/2012 12:00:00 AM,Rockville,Maryland [MD],United States [us],Schools - New Construction,v2007,Gold,2
McCarthy Wilson,http://www.usgbc.org/projects/mccarthy-wilson,10/26/2009 12:00:00 AM,Rockville,Maryland [MD],United States [us],Commercial Interiors,v2.0,Gold,2
Montgomery College Science Center,http://www.usgbc.org/projects/montgomery-college-science-center,08/23/2012 12:00:00 AM,Rockville,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
Gaithersburg Olde Towne Youth Center,http://www.usgbc.org/projects/gaithersburg-olde-towne-youth-center,06/17/2010 12:00:00 AM,Gaithersburg,Maryland [MD],United States [us],New Construction,v2.2,Platinum,1
Blair Towns,http://www.usgbc.org/projects/blair-towns,01/21/2004 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2.0,Certified,4
Ruppert Landscape Shop Building,http://www.usgbc.org/projects/ruppert-landscape-shop-building,05/31/2012 12:00:00 AM,Laytonsville,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
P-188/189 RDT&E Support Facility,http://www.usgbc.org/projects/p-188189-rdte-support-facility,10/04/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
CVS Pharmacy 1461,http://www.usgbc.org/projects/cvs-pharmacy-1461,08/18/2011 12:00:00 AM,Burtonsville,Maryland [MD],United States [us],New Construction,v2.2,Certified,4
1200 East-West Highway,http://www.usgbc.org/projects/1200-east-west-highway,05/17/2012 12:00:00 AM,Silver Spring,Maryland [MD],United States [us],New Construction,v2.2,Gold,2
P701-WTU-Bldg 62,http://www.usgbc.org/projects/p701-wtu-bldg-62,04/18/2012 12:00:00 AM,Bethesda,Maryland [MD],United States [us],New Construction,v2.2,Silver,3
Montrose Crossing,http://www.usgbc.org/projects/montrose-crossing,04/27/2012 12:00:00 AM,Rockville,Maryland [MD],United States [us],Core and Shell,v2009,Certified,4
Giant Burtonsville,http://www.usgbc.org/projects/giant-burtonsville,09/05/2012 12:00:00 AM,Burtonsville,Maryland [MD],United States [us],Retail - New Construction,v1.0 pilot,Silver,3
